Headlines,Link
Man masturbates next to journalist in Delhi bus; she says no passenger helped her,https://news.google.co.in./articles/CBMinAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vZGVsaGktbmV3cy9tYW4tbWFzdHVyYmF0ZXMtbmV4dC10by1qb3VybmFsaXN0LWluLWRlbGhpLWJ1cy1zaGUtc2F5cy1uby1wYXNzZW5nZXItaGVscGVkLWhlci9zdG9yeS1ZSVVXbXp6WTQ0YlhnVHRGYmRQcDRPLmh0bWzSAesBaHR0cHM6Ly9tLWhpbmR1c3RhbnRpbWVzLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL20uaGluZHVzdGFudGltZXMuY29tL2RlbGhpLW5ld3MvbWFuLW1hc3R1cmJhdGVzLW5leHQtdG8tam91cm5hbGlzdC1pbi1kZWxoaS1idXMtc2hlLXNheXMtbm8tcGFzc2VuZ2VyLWhlbHBlZC1oZXIvc3RvcnktWUlVV216elk0NGJYZ1R0RmJkUHA0T19hbXAuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
"Over 3,500 File Nominations For Telangana Elections",https://news.google.co.in./articles/CAIiEJZXSAoadCSFuznxdupH6fcqGQgEKhAIACoHCAowj8n_CjDIrfkCMJPBoAY
U.S. suspends $ 1.66 bn security aid to Pakistan,https://news.google.co.in./articles/CAIiEC7ztVdg_sd3xa6Yg6Wq1w0qGQgEKhAIACoHCAowiYr-CjD1iIoDMPT73AU
"Chilli Powder Thrown at Arvind Kejriwal, Cops Arrest Attacker After Saying it May be Unintentional",https://news.google.co.in./articles/CBMinAFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3MvcG9saXRpY3MvY2hpbGxpLXBvd2Rlci10aHJvd24tYXQtZGVsaGktY20tYXJ2aW5kLWtlanJpd2FsLWNvcHMtYXJyZXN0LWF0dGFja2VyLWFmdGVyLXNheWluZy1pdC1tYXktYmUtdW5pbnRlbnRpb25hbC0xOTQ1MTM5Lmh0bWzSAecBaHR0cHM6Ly93d3ctbmV3czE4LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5uZXdzMTguY29tL2FtcC9uZXdzL3BvbGl0aWNzL2NoaWxsaS1wb3dkZXItdGhyb3duLWF0LWRlbGhpLWNtLWFydmluZC1rZWpyaXdhbC1jb3BzLWFycmVzdC1hdHRhY2tlci1hZnRlci1zYXlpbmctaXQtbWF5LWJlLXVuaW50ZW50aW9uYWwtMTk0NTEzOS5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
Man gets death for 1984 riots in case reopened after 21 years,https://news.google.co.in./articles/CAIiEJy1gzIwRBCvZwOqsKM4jOAqGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU
"When a Cyclone, and Taboo Around Menstruation, Took a Young Girl's Life",https://news.google.co.in./articles/CBMiXWh0dHBzOi8vdGhld2lyZS5pbi93b21lbi93aGVuLWEtY3ljbG9uZS1hbmQtdGFib28tYXJvdW5kLW1lbnN0cnVhdGlvbi10b29rLWEteW91bmctZ2lybHMtbGlmZdIBpQFodHRwczovL3RoZXdpcmUtaW4uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy90aGV3aXJlLmluL3dvbWVuL3doZW4tYS1jeWNsb25lLWFuZC10YWJvby1hcm91bmQtbWVuc3RydWF0aW9uLXRvb2stYS15b3VuZy1naXJscy1saWZlL2FtcC8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
"PM Modi, Rahul Gandhi trade barbs in poll-bound MP, Mizoram",https://news.google.co.in./articles/CAIiEPiRMPj81ImY5Sc0q_k0Sg8qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ
West Bengal minister Sovan Chatterjee resigns after CM Mamata Banerjee rebukes him,https://news.google.co.in./articles/CBMicmh0dHBzOi8vc2Nyb2xsLmluL2xhdGVzdC85MDI4OTEvd2VzdC1iZW5nYWwtbWluaXN0ZXItc292YW4tY2hhdHRlcmplZS1yZXNpZ25zLWFmdGVyLWNtLW1hbWF0YS1iYW5lcmplZS1yZWJ1a2VzLWhpbdIBvAFodHRwczovL2FtcC1zY3JvbGwtaW4uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9hbXAuc2Nyb2xsLmluL2xhdGVzdC85MDI4OTEvd2VzdC1iZW5nYWwtbWluaXN0ZXItc292YW4tY2hhdHRlcmplZS1yZXNpZ25zLWFmdGVyLWNtLW1hbWF0YS1iYW5lcmplZS1yZWJ1a2VzLWhpbT9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
More than 50 killed by suicide bomber in Kabul banqueting hall,https://news.google.co.in./articles/CAIiEHP7A4BrkGC2BhinUebs1cgqGQgEKhAIACoHCAowzrL9CjDC7vQCMOXc1gU
Sri Lanka political crisis: TNA seeks solution to deadlock,https://news.google.co.in./articles/CAIiEO944Ydn8Ac7KuYYG1w5wHQqGQgEKhAIACoHCAowiYr-CjD1iIoDMPmG6gU
"Ivanka Trump used Private Account to Send Emails on Govt Business, Just Like Hillary Clinton",https://news.google.co.in./articles/CBMilgFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3Mvd29ybGQvaXZhbmthLXRydW1wLXVzZWQtcHJpdmF0ZS1hY2NvdW50LXRvLXNlbmQtaHVuZHJlZHMtb2YtZW1haWxzLW9uLWdvdnQtYnVzaW5lc3MtanVzdC1saWtlLWhpbGxhcnktY2xpbnRvbi0xOTQ0MjA5Lmh0bWzSAeEBaHR0cHM6Ly93d3ctbmV3czE4LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5uZXdzMTguY29tL2FtcC9uZXdzL3dvcmxkL2l2YW5rYS10cnVtcC11c2VkLXByaXZhdGUtYWNjb3VudC10by1zZW5kLWh1bmRyZWRzLW9mLWVtYWlscy1vbi1nb3Z0LWJ1c2luZXNzLWp1c3QtbGlrZS1oaWxsYXJ5LWNsaW50b24tMTk0NDIwOS5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
"On Eid Milad Un Nabi, PM Modi, Other Leaders Extend Greetings",https://news.google.co.in./articles/CAIiEDrn5XfOFZ5fFUSyvGgaOaUqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU
"Market Live: Nifty breaks 10,600, Sensex falls over 300 pts; IT stocks top losers",https://news.google.co.in./articles/CBMiowFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9zdG9jay1tYXJrZXQtbGl2ZS11cGRhdGVzLWJzZS1uc2UtbmlmdHktYnJlYWtzLTEwNjAwLXNlbnNleC1mYWxscy1vdmVyLTI1MC1wdHMtaXQtc3RvY2tzLXRvcC1sb3NlcnMtMzIwMjUzMS5odG1s0gH6AWh0dHBzOi8vd3d3LW1vbmV5Y29udHJvbC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL21hcmtldHMvc3RvY2stc2hhcmUtbWFya2V0LWxpdmUtdXBkYXRlcy1ic2UtbnNlLW5pZnR5LWJyZWFrcy0xMDYwMC1zZW5zZXgtZmFsbHMtb3Zlci0zMDAtcHRzLWl0LXN0b2Nrcy10b3AtbG9zZXJzLTMyMDI1MzEuaHRtbC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
Yes Bank board meeting advanced to 13 December amid crisis,https://news.google.co.in./articles/CAIiELwI_y1c0dIy1Rm8SydL5BoqFggEKg4IACoGCAowxLQ_MNevCDCkoh8
"EPFO payroll data: Job creation more than doubled to 9.73 lakh in Sept, the highest monthly addition since Sept 2017",https://news.google.co.in./articles/CAIiEDRbLkeSRpQGYEczvtmGX54qGQgEKhAIACoHCAow55veCjDzvdUBMIPh5gU
Where do RBI’s surplus funds come from?,https://news.google.co.in./articles/CAIiEBceHVZQED3u-v062hkbxWIqGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU
"Samsung Galaxy S10 to come in 4 colors, Galaxy F foldable phone with 512 GB storage: Report",https://news.google.co.in./articles/CAIiEPzLrzFbuNkDDHkDA_2v1XMqGAgEKg8IACoHCAowp_LsCTCAxCYw5_WvAQ
These Xiaomi phones will no longer receive software update: Check if your phone is on the list,https://news.google.co.in./articles/CAIiEIbmUMP67SB9tMgg1_YRgzgqGQgEKhAIACoHCAowr6n9CjCr4PQCMJSW2AU
Realme U1 spotted in the wild with dual cameras - GSMArena.com news,https://news.google.co.in./articles/CBMiSWh0dHBzOi8vd3d3LmdzbWFyZW5hLmNvbS9yZWFsbWVfdTFfd2lsZF9waG90b19kdWFsX2NhbWVyYXMtbmV3cy0zNDMzMS5waHDSAY0BaHR0cHM6Ly9tLWdzbWFyZW5hLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL20uZ3NtYXJlbmEuY29tL3JlYWxtZV91MV93aWxkX3Bob3RvX2R1YWxfY2FtZXJhcy1hbXAtMzQzMzEucGhwP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
Facebook launches a dashboard for tracking the time you spend in its app,https://news.google.co.in./articles/CAIiEBbDJZlVpBBM0mYcBPcU5YMqFggEKg0IACoGCAow8KsBMMBFMJzjoAY
"Doesn’t matter whether you are the biggest or smallest superstar, women have to be secure: Kar",https://news.google.co.in./articles/CAIiEDHX8rue4aXSJ35ISEKJUZ4qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ
Deepika Padukone And Ranveer Singh's Konkani Wedding Rituals Explained,https://news.google.co.in./articles/CAIiEAohZwV9RuEq_b6WI5hCXToqGQgEKhAIACoHCAowj8n_CjDIrfkCMMf18wU
#MeToo movement: Mumbai Police registers FIR against Alok Nath,https://news.google.co.in./articles/CAIiEL9NnH_t10vKl7djvI4CCqgqGQgEKhAIACoHCAowzrL9CjDC7vQCMPblnQY
Priyanka Chopra and Nick Jonas to tie the knot in a Christian wedding ceremony on December 3? Details inside,https://news.google.co.in./articles/CAIiEMgkXkQTvlO54EGnH1nqcIAqGQgEKhAIACoHCAowr6n9CjCr4PQCMOeX2AU
"LIVE Cricket Score, India vs Australia, 1st T20I at Brisbane: India Hunt for Wickets as Finch, Short Start Proceedings",https://news.google.co.in./articles/CBMipwFodHRwczovL3d3dy5uZXdzMTguY29tL2NyaWNrZXRuZXh0L25ld3MvbGl2ZS1jcmlja2V0LXNjb3JlLWluZGlhLXZzLWF1c3RyYWxpYS0xc3QtdDIwaS1hdC1icmlzYmFuZS1pbmRpYS1odW50LWZvci13aWNrZXRzLWFzLWZpbmNoLXNob3J0LXN0YXJ0LXByb2NlZWRpbmdzLTE5NDUwODcuaHRtbNIB8gFodHRwczovL3d3dy1uZXdzMTgtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3Lm5ld3MxOC5jb20vY3JpY2tldG5leHQvYW1wL25ld3MvbGl2ZS1jcmlja2V0LXNjb3JlLWluZGlhLXZzLWF1c3RyYWxpYS0xc3QtdDIwaS1hdC1icmlzYmFuZS1pbmRpYS1odW50LWZvci13aWNrZXRzLWFzLWZpbmNoLXNob3J0LXN0YXJ0LXByb2NlZWRpbmdzLTE5NDUwODcuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
New Zealand players do the bhangra after beating Pakistan - Watch,https://news.google.co.in./articles/CAIiEJcuRtcwlOSyZUDD8JvlMckqFggEKg4IACoGCAoww7k_MMevCDDs0AE
Former captain Kim Hughes advice to Australians: ''Cannot play like pussycats against Virat Kohli'',https://news.google.co.in./articles/CAIiEFFWceP6_RQmoRE4RrWpikgqGQgEKhAIACoHCAowr6n9CjCr4PQCMJ242gU
"Brazil team news: Predicted line up vs Cameroon – Neymar in, Liverpool star dropped?",https://news.google.co.in./articles/CAIiEEBNEmaJej_1rbsnKEYcossqGQgEKhAIACoHCAow9935CjCe0eYCMNHmzAU
"NASA Orders Sweeping Review of SpaceX, Boeing Projects After Elon Musk’s Weed Video",https://news.google.co.in./articles/CBMigAFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3Mvd29ybGQvbmFzYS1vcmRlcnMtc3dlZXBpbmctcmV2aWV3LW9mLXNwYWNleC1ib2VpbmctcHJvamVjdHMtYWZ0ZXItZWxvbi1tdXNrcy13ZWVkLXZpZGVvLTE5NDUzMTcuaHRtbNIBywFodHRwczovL3d3dy1uZXdzMTgtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3Lm5ld3MxOC5jb20vYW1wL25ld3Mvd29ybGQvbmFzYS1vcmRlcnMtc3dlZXBpbmctcmV2aWV3LW9mLXNwYWNleC1ib2VpbmctcHJvamVjdHMtYWZ0ZXItZWxvbi1tdXNrcy13ZWVkLXZpZGVvLTE5NDUzMTcuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
Rolling stones left strange grooves on Mars moon: Study,https://news.google.co.in./articles/CAIiEO5Smhl_dlszp_UncHqg8gMqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ
New pinwheel star system discovered,https://news.google.co.in./articles/CAIiEBcfjJU5pt8MUfbBguWVq60qGQgEKhAIACoHCAow55veCjDzvdUBMLHh5gU
NASA asteroid WARNING: Two giant asteroids headed on 'Earth Close Approach' TODAY,https://news.google.co.in./articles/CBMiZ2h0dHBzOi8vd3d3LmV4cHJlc3MuY28udWsvbmV3cy9zY2llbmNlLzEwNDc0NzcvTmFzYS1hc3Rlcm9pZC13YXJuaW5nLXR3by1hc3Rlcm9pZHMtZWFydGgtY2xvc2UtYXBwcm9hY2jSAbUBaHR0cHM6Ly93d3ctZXhwcmVzcy1jby11ay5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5leHByZXNzLmNvLnVrL25ld3Mvc2NpZW5jZS8xMDQ3NDc3L05hc2EtYXN0ZXJvaWQtd2FybmluZy10d28tYXN0ZXJvaWRzLWVhcnRoLWNsb3NlLWFwcHJvYWNoL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
Depression linked to increased risk of irregular heartbeat: Study,https://news.google.co.in./articles/CAIiELt8RCtPvqvXXAnz_8mINlQqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ
New drug may help treat peanut allergy: Study,https://news.google.co.in./articles/CAIiEIwR_OP1Odm0OcQuA4lSqc8qGQgEKhAIACoHCAowr6n9CjCr4PQCMJOV2AU
World COPD 2018: Can A Person With COPD Get Better? Some Lifestyle Changes Which Can Help,https://news.google.co.in./articles/CAIiEGG2VaVJCSWBE31tdpP3HhsqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU
'Two-meals-a-day' professor to drive diabetes fight,https://news.google.co.in./articles/CAIiEBna0lj1N1VgOqZOGqpC_u4qGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU
